Time (s),Fibonacci Count,Prime Fibonacci Number
0.0,2,2
0.0,3,3
0.0,4,5
0.0,6,13
0.0,10,89
0.0,12,233
0.0,16,1597
0.0,22,28657
0.0,28,514229
0.0,42,433494437
0.0,46,2971215073
0.0,82,99194853094755497
0.0,130,1066340417491710595814572169
0.0,136,19134702400093278081449423917
0.0,358,475420437734698220747368027166749382927701417016557193662268716376935476241
0.01,430,529892711006095621792039556787784670197112759029534506620905162834769955134424689676262369
0.01,432,1387277127804783827114186103186246392258450358171783690079918032136025225954602593712568353
0.01,448,3061719992484545030554313848083717208111285432353738497131674799321571238149015933442805665949
0.01,508,10597999265301490732599643671505003412515860435409421932560009680142974347195483140293254396195769876129909
0.01,568,36684474316080978061473613646275630451100586901195229815270242868417768061193560857904335017879540515228143777781065869
0.01,570,96041200618922553823942883360924865026104917411877067816822264789029014378308478864192589084185254331637646183008074629
3.36,2970,357103560641909860720907774139063454445569926582843306794041997476301071102767570483343563518510007800304195444080518562630900027386498933944619210192856768352683468831754423234217978525765921040747291316681576556861490773135214861782877716560879686368266117365351884926393775431925116896322341130075880287169244980698837941931247516010101631704349963583400361910809925847721300802741705519412306522941202429437928826033885416656967971559902743150263252229456298992263008126719589203430407385228230361628494860172129702271172926469500802342608722006420745586297267929052509059154340968348509580552307148642001438470316229
Time (s),Fibonacci Count,Prime Fibonacci Number
0.0,2,2
0.0,3,3
0.0,4,5
0.0,6,13
0.0,10,89
0.0,12,233
0.0,16,1597
0.0,22,28657
0.0,28,514229
0.0,42,433494437
0.0,46,2971215073
0.0,82,99194853094755497
0.0,130,1066340417491710595814572169
0.0,136,19134702400093278081449423917
0.0,358,475420437734698220747368027166749382927701417016557193662268716376935476241
0.0,430,529892711006095621792039556787784670197112759029534506620905162834769955134424689676262369
0.0,432,1387277127804783827114186103186246392258450358171783690079918032136025225954602593712568353
0.01,448,3061719992484545030554313848083717208111285432353738497131674799321571238149015933442805665949
0.01,508,10597999265301490732599643671505003412515860435409421932560009680142974347195483140293254396195769876129909
0.01,568,36684474316080978061473613646275630451100586901195229815270242868417768061193560857904335017879540515228143777781065869
0.01,570,96041200618922553823942883360924865026104917411877067816822264789029014378308478864192589084185254331637646183008074629
